Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Discus,0.65,0.62,,F32,U17,Female,CP,6/18/2004,1/7/2019,.75K,,FieldF32U17FemaleDiscus,FieldDiscusF32,FieldDiscusF32U17Female
Field,Discus,3.97,3.77,,F32,U17,Male,CP,6/18/2004,1/7/2019,.75K,,FieldF32U17MaleDiscus,FieldDiscusF32,FieldDiscusF32U17Male
Field,Discus,2.32,2.21,,F32,U20,Female,CP,6/18/2004,1/23/2014,1K,,FieldF32U20FemaleDiscus,FieldDiscusF32,FieldDiscusF32U20Female
Field,Discus,4.58,4.35,,F32,U20,Male,CP,6/18/2004,1/23/2014,1K,,FieldF32U20MaleDiscus,FieldDiscusF32,FieldDiscusF32U20Male
Field,Discus,2.36,2.24,,F32,U23,Female,CP,6/18/2004,1/23/2014,1K,,FieldF32U23FemaleDiscus,FieldDiscusF32,FieldDiscusF32U23Female
Field,Discus,4.89,4.64,,F32,U23,Male,CP,6/18/2004,1/23/2014,1K,,FieldF32U23MaleDiscus,FieldDiscusF32,FieldDiscusF32U23Male
Field,Discus,2.36,2.24,,F33,Adults,Female,CP,6/18/2004,5/2/2008,1K,,FieldF33AdultsFemaleDiscus,FieldDiscusF33,FieldDiscusF33AdultsFemale
Field,Discus,3.54,3.36,,F33,Adults,Male,CP,6/18/2004,5/2/2008,1K,,FieldF33AdultsMaleDiscus,FieldDiscusF33,FieldDiscusF33AdultsMale
Field,Discus,1.77,1.68,,F33,M35,Female,CP,6/18/2004,8/18/2013,1K,,FieldF33M35FemaleDiscus,FieldDiscusF33,FieldDiscusF33M35Female
Field,Discus,2.36,2.24,,F33,M35,Male,CP,6/18/2004,8/18/2013,1K,,FieldF33M35MaleDiscus,FieldDiscusF33,FieldDiscusF33M35Male
Field,Discus,1.77,1.68,,F33,M50,Female,CP,6/18/2004,1/26/2016,.75K,,FieldF33M50FemaleDiscus,FieldDiscusF33,FieldDiscusF33M50Female
Field,Discus,2.36,2.24,,F33,M50,Male,CP,6/18/2004,1/26/2016,.75K,,FieldF33M50MaleDiscus,FieldDiscusF33,FieldDiscusF33M50Male
Field,Discus,1.77,1.68,,F33,M60,Female,CP,6/18/2004,1/26/2016,.75K,,FieldF33M60FemaleDiscus,FieldDiscusF33,FieldDiscusF33M60Female
Field,Discus,2.36,2.24,,F33,M60,Male,CP,6/18/2004,1/26/2016,.75K,,FieldF33M60MaleDiscus,FieldDiscusF33,FieldDiscusF33M60Male
Field,Discus,0.74,0.7,,F33,U11,Female,CP,6/18/2004,1/23/2014,.75K,,FieldF33U11FemaleDiscus,FieldDiscusF33,FieldDiscusF33U11Female
Field,Discus,3.36,3.19,,F33,U11,Male,CP,6/18/2004,1/24/2014,.75K,,FieldF33U11MaleDiscus,FieldDiscusF33,FieldDiscusF33U11Male
Field,Discus,1.38,1.31,,F33,U14,Female,CP,6/18/2004,1/23/2014,.75K,,FieldF33U14FemaleDiscus,FieldDiscusF33,FieldDiscusF33U14Female
Field,Discus,5.34,5.07,,F33,U14,Male,CP,6/18/2004,1/23/2014,.75K,,FieldF33U14MaleDiscus,FieldDiscusF33,FieldDiscusF33U14Male
Field,Discus,2.07,1.96,,F33,U17,Female,CP,6/18/2004,1/7/2019,.75K,,FieldF33U17FemaleDiscus,FieldDiscusF33,FieldDiscusF33U17Female
